id,url,image_url,tag_list,description,place_guess,latitude,longitude,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,Type
108334479,https://www.inaturalist.org/observations/108334479,https://static.inaturalist.org/photos/182378448/medium.jpg,,,"University of Southern California, Los Angeles, CA, US",34.02320872,-118.2836687,Agave and Allies,Asparagaceae,agave,Plantae,47599,Non-Flowering
108334520,https://www.inaturalist.org/observations/108334520,https://static.inaturalist.org/photos/182378579/medium.jpg,,,"University of Southern California, Los Angeles, CA, US",34.02313709,-118.2836145,,Parkinsonia,palo verde,Plantae,62834,Tree
108334562,https://www.inaturalist.org/observations/108334562,https://static.inaturalist.org/photos/182378687/medium.jpg,,,"University of Southern California, Los Angeles, CA, US",34.02273878,-118.2839442,,Rosa,roses,Plantae,53438,Flowering
108334573,https://www.inaturalist.org/observations/108334573,https://static.inaturalist.org/photos/182378753/medium.jpg,,,"University of Southern California, Los Angeles, CA, US",34.02280587,-118.2838628,,Olea europaea,Olive,Plantae,57140,Tree
108334644,https://www.inaturalist.org/observations/108334644,https://static.inaturalist.org/photos/182378796/medium.jpg,,,"Los Angeles County, US-CA, US",34.02290245,-118.2838623,,Strelitzia,Bird of  paradise flowers,Plantae,48316,Flowering
108334669,https://www.inaturalist.org/observations/108334669,https://static.inaturalist.org/photos/182378807/medium.jpg,,,"University of Southern California, Los Angeles, CA, US",34.02263104,-118.283982,,Rhaphiolepis,Indian Hawhtorn,Plantae,179306,Flowering
108334681,https://www.inaturalist.org/observations/108334681,https://static.inaturalist.org/photos/182378843/medium.jpg,,,"University of Southern California, Los Angeles, CA, US",34.02326286,-118.2836921,,Rosa,roses,Plantae,53438,Flowering
108334747,https://www.inaturalist.org/observations/108334747,https://static.inaturalist.org/photos/182378977/medium.jpg,,,"University of Southern California, Los Angeles, CA, US",34.02228014,-118.2843224,date palms,Phoenix,date palms,Plantae,72295,Tree
108334757,https://www.inaturalist.org/observations/108334757,https://static.inaturalist.org/photos/182378997/medium.jpg,,,"Los Angeles County, US-CA, US",34.02176109,-118.2840827,,Viola × wittrockiana,garden pansy,Plantae,171203,Flowering
108334773,https://www.inaturalist.org/observations/108334773,https://static.inaturalist.org/photos/182379038/medium.jpg,,,"Los Angeles County, US-CA, US",34.02174534,-118.2840463,,Trachelospermum asiaticum,Asiatic jasmine,Plantae,349229,Flowering
108350434,https://www.inaturalist.org/observations/108350434,https://static.inaturalist.org/photos/182409273/medium.jpg,,,"University of Southern California, Los Angeles, CA, US",34.02316383,-118.2836717,,Phormium,New Zealand flaxes,Plantae,51756,Non-Flowering
